stock, y_true, y_pred, error(%) 
5511, 1.2, 1.51, 25.833333333333343
5514, 0.6, 0.27, -54.99999999999999
5519, 0.4, 0.756, 88.99999999999999
5530, 2.5, 2.38, -4.800000000000004
5706, 3.0, 2.2399999999999998, -25.333333333333343
5903, 5.5, 4.48, -18.545454545454536
5904, 13.0, 7.159999999999999, -44.92307692307693
6114, 1.5, 1.0, -33.33333333333333
6121, 10.0, 6.659999999999999, -33.400000000000006
6146, 6.1, 5.24, -14.098360655737697
6176, 4.8, 5.9, 22.91666666666668
6177, 4.5, 1.8, -60.00000000000001
6186, 1.5, 2.3, 53.33333333333332
6195, 4.0, 4.1, 2.499999999999991
6203, 1.2, 2.56, 113.33333333333336
6210, 3.5, 3.3, -5.71428571428572
6224, 3.0, 4.25, 41.66666666666667
6230, 3.95, 4.64, 17.468354430379733
6238, 8.0, 2.7199999999999998, -66.0
6245, 2.0, 1.8, -9.999999999999998
6263, 4.3, 3.1399999999999997, -26.976744186046513
6279, 8.0, 4.9399999999999995, -38.25000000000001
6294, 7.5, 2.3600000000000003, -68.53333333333332
8050, 2.5, 3.476, 39.04
8066, 8.0, 3.6, -55.00000000000001
8083, 8.5, 6.56, -22.82352941176471
8109, 4.0, 3.66, -8.499999999999996
8114, 6.2, 7.01, 13.064516129032253
8210, 3.0, 2.62, -12.666666666666663
8299, 17.0, 11.040000000000001, -35.05882352941176
9946, 0.6, 1.22, 103.33333333333334
9951, 5.3, 4.460000000000001, -15.849056603773565
1558, 8.5, 8.9, 4.70588235294118
1582, 5.0, 4.4288, -11.424000000000003
2114, 5.0, 5.0, 0.0
3130, 9.6, 7.269, -24.281249999999996
3152, 10.9, 7.516, -31.04587155963303
3450, 3.0, 4.8, 60.0
3454, 4.0, 5.25, 31.25
4426, 0.4, 0.5199999999999999, 29.99999999999997
8255, 6.0, 5.6, -6.666666666666672
8271, 2.6, 2.0440000000000005, -21.38461538461537
2231, 7.5, 6.3, -16.000000000000004
1580, 8.0, 7.7, -3.749999999999998
3529, 7.5, 5.04, -32.800000000000004
3541, 5.0, 3.5, -30.0
3552, 2.0, 4.159999999999999, 107.99999999999996
3556, 4.1, 4.17, 1.7073170731707388
3563, 10.0, 3.6754, -63.246
3570, 1.28, 3.1399999999999997, 145.31249999999997
